"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","CZ-NACE_2025_U5",6105,"10130","Výroba masných výrobků a výrobků z drůbežího masa","Výroba masných výrobků a výrobků z drůbežího masa","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10200","Zpracování a konzervování ryb, korýšů a měkkýšů","Zpracování a konzervování ryb, korýšů a měkkýšů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10310","Zpracování a konzervování brambor","Zpracování a konzervování brambor","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10320","Výroba ovocných a zeleninových šťáv","Výroba ovocných a zeleninových šťáv","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10390","Ostatní zpracování a konzervování ovoce a zeleniny","Ostatní zpracování a konzervování ovoce a zeleniny","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10410","Výroba olejů a tuků","Výroba olejů a tuků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10420","Výroba margarínu a podobných jedlých tuků","Výroba margarínu a podobných jedlých tuků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10510","Výroba mléčných výrobků","Výroba mléčných výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10520","Výroba zmrzliny a ledu k lidské spotřebě","Výroba zmrzliny a ledu k lidské spotřebě","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10610","Výroba mlýnských výrobků","Výroba mlýnských výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10620","Výroba škrobárenských výrobků","Výroba škrobárenských výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10710","Výroba pekařských a cukrářských výrobků, kromě trvanlivých","Výroba pekařských a cukrářských výrobků, kromě trvanlivých","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10720","Výroba sucharů, sušenek a trvanlivých pekařských a cukrářský","Výroba sucharů, sušenek a trvanlivých pekařských a cukrářských výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10730","Výroba moučných výrobků","Výroba moučných výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10810","Výroba cukru","Výroba cukru","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10820","Výroba kakaa, čokolády a cukrovinek","Výroba kakaa, čokolády a cukrovinek","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10830","Zpracování čaje a kávy","Zpracování čaje a kávy","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10840","Výroba koření a přísad pro ochucení","Výroba koření a přísad pro ochucení","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10850","Výroba hotových pokrmů","Výroba hotových pokrmů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10860","Výroba homogenizovaných potravinářských přípravků a dietetic","Výroba homogenizovaných potravinářských přípravků a dietetických potravin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10890","Výroba ostatních potravinářských výrobků j. n.","Výroba ostatních potravinářských výrobků j. n.","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10910","Výroba krmiv pro hospodářská zvířata","Výroba krmiv pro hospodářská zvířata","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"10920","Výroba krmiv pro zvířata v zájmovém chovu","Výroba krmiv pro zvířata v zájmovém chovu","2025-01-01","9999-09-09"
